source,target
s2,s4
s3,s5
s5,s76064
s4,s6
s6,s7
s6,s9
s76064,s7
s7,s8
s7,s101682
s9,s8
s8,s10
s8,s11
s101682,s10
s10,s12
s10,s76065
s11,s12
s12,s13
s76065,s76066
s13,s14
s76066,s76067
s14,s15
s14,s96781
s76067,s15
s15,s17
s15,s76068
s96781,s17
s17,s18
s76068,s76071
s18,s19
s76071,s20
s19,s21
s20,s22
s21,s96782
s21,s23
s22,s23
s96782,s25
s23,s25
s23,s26
s25,s27
s25,s28
s26,s27
s27,s29
s28,s96783
s29,s101683
s29,s30
s96783,s30
s101683,s31
s30,s31
s30,s32
s31,s33
s31,s34
s32,s33
s33,s35
s34,s76072
s35,s36
s76072,s76073
s36,s88460
s36,s37
s76073,s37
s88460,s38
s37,s96784
s37,s38
s96784,s39
s38,s39
s38,s76074
s39,s41
s39,s88461
s76074,s41
s41,s43
s41,s76075
s88461,s43
s43,s46
s76075,s76077
s46,s88463
s46,s48
s76077,s48
s88463,s49
s48,s49
s48,s50
s49,s51
s49,s101684
s50,s51
s51,s52
s51,s96785
s101684,s52
s52,s53
s52,s76078
s96785,s53
s53,s54
s53,s96786
s76078,s54
s54,s101686
s54,s56
s96786,s56
s101686,s57
s56,s57
s56,s96791
s57,s59
s96791,s61
s59,s60
s59,s101687
s61,s60
s60,s62
s101687,s101688
s101688,s63
s62,s63
s62,s96792
s63,s64
s63,s76079
s96792,s64
s64,s67
s64,s96793
s76079,s67
s67,s70
s96793,s96794
s70,s72
s70,s74
s96794,s72
s72,s73
s72,s96795
s74,s73
s73,s76
s96795,s96796
s76,s78
s76,s79
s96796,s78
s78,s80
s79,s101689
s101689,s101690
s80,s81
s81,s83
s101690,s101691
s83,s86
s83,s85
s101691,s85
s86,s87
s85,s87
s85,s76080
s87,s88
s87,s101692
s76080,s88
s88,s90
s88,s96798
s101692,s90
s90,s76083
s90,s92
s96798,s92
s76083,s95
s92,s96
s92,s95
s96,s97
s95,s97
s95,s98
s97,s99
s97,s88464
s98,s99
s99,s101
s99,s76089
s88464,s101
s101,s102
s101,s101694
s76089,s102
s102,s103
s101694,s105
s105,s104
s103,s106
s103,s104
s106,s107
s104,s108
s104,s107
s108,s109
s107,s110
s107,s109
s110,s76090
s109,s111
s76090,s112
s111,s112
s111,s101695
s112,s113
s101695,s101696
s101696,s115
s113,s76091
s113,s115
s76091,s116
s115,s116
s115,s88466
s116,s118
s116,s117
s88466,s117
s118,s119
s117,s119
s117,s101697
s119,s121
s119,s88467
s101697,s121
s121,s122
s88467,s123
s122,s124
s122,s125
s123,s124
s124,s126
s124,s101698
s125,s126
s126,s129
s126,s128
s101698,s128
s129,s130
s128,s130
s128,s76093
s130,s101699
s130,s131
s76093,s131
s101699,s133
s131,s134
s131,s133
s134,s135
s133,s135
s133,s101700
s135,s137
s135,s138
s101700,s137
s137,s140
s137,s139
s138,s139
s140,s141
s139,s141
s139,s76094
s141,s142
s141,s88468
s76094,s142
s142,s101701
s142,s145
s88468,s145
s101701,s146
s145,s146
s145,s88469
s146,s96799
s146,s148
s88469,s148
s96799,s150
s148,s101702
s148,s150
s101702,s151
s150,s96800
s150,s151
s96800,s153
s151,s153
s151,s101703
s153,s155
s153,s154
s101703,s154
s155,s156
s154,s156
s154,s96801
s156,s157
s156,s158
s96801,s157
s157,s159
s158,s160
s159,s162
s159,s96802
s160,s162
s162,s166
s162,s163
s96802,s163
s166,s164
s163,s164
s163,s168
s164,s165
s164,s167
s168,s165
s165,s171
s165,s170
s167,s170
s171,s172
s170,s101704
s170,s172
s101704,s173
s172,s173
s172,s174
s173,s175
s173,s76095
s174,s175
s175,s176
s175,s88470
s76095,s176
s176,s177
s176,s76096
s88470,s177
s177,s101705
s177,s179
s76096,s179
s101705,s182
s179,s181
s181,s183
s181,s76097
s182,s183
s183,s184
s76097,s185
s184,s186
s184,s96803
s185,s186
s186,s187
s186,s101706
s96803,s187
s187,s188
s187,s189
s101706,s188
s188,s191
s188,s190
s189,s190
s191,s192
s190,s193
s190,s192
s193,s194
s192,s194
s192,s76098
s194,s196
s76098,s76099
s76099,s198
s196,s199
s196,s198
s199,s200
s198,s88471
s198,s200
s88471,s203
s200,s202
s202,s204
s203,s88472
s88472,s206
s204,s207
s204,s206
s207,s208
s206,s208
s206,s88473
s208,s210
s88473,s88474
s88474,s88475
s210,s211
s88475,s213
s211,s213
s211,s214
s213,s215
s214,s216
s215,s217
s215,s101707
s216,s217
s217,s76100
s217,s218
s101707,s218
s76100,s219
s218,s219
s218,s220
s219,s221
s219,s76101
s220,s221
s221,s222
s76101,s76106
s76106,s223
s222,s88476
s222,s223
s88476,s88477
s223,s225
s88477,s88479
s225,s227
s88479,s228
s227,s76107
s227,s228
s76107,s229
s228,s101710
s228,s229
s101710,s101711
s229,s231
s101711,s233
s231,s76108
s231,s233
s76108,s76109
s233,s236
s236,s237
s236,s101712
s76109,s237
s237,s240
s101712,s101713
s101713,s241
s240,s241
s240,s88480
s241,s242
s241,s96804
s88480,s242
s242,s244
s242,s76110
s96804,s244
s244,s246
s76110,s76111
s76111,s249
s246,s101715
s246,s249
s101715,s250
s249,s250
s249,s88482
s250,s253
s250,s252
s88482,s252
s253,s255
s252,s254
s255,s257
s254,s256
s257,s259
s256,s258
s258,s101716
s258,s260
s259,s260
s101716,s261
s260,s76114
s260,s261
s76114,s264
s261,s263
s263,s266
s264,s267
s266,s268
s266,s101717
s267,s268
s268,s269
s268,s270
s101717,s269
s269,s272
s269,s291
s270,s272
s272,s88483
s272,s273
s291,s273
s88483,s88484
s273,s274
s88484,s88485
s274,s275
s88485,s88486
s275,s277
s277,s279
